Name	HMDBID	KeggID	Class
1H_Indole_3_acetamide	HMDB29739	C02693	Indoles
D-Galactose	HMDB00143	C00984	Carbohydrates
D-Mannose	HMDB00169	C00159	Carbohydrates
Hydroxyphenyllactic acid	HMDB00755	C03672	Organic Acids
D-Glucose	HMDB00122	C00031	Carbohydrates
L-Histidine	HMDB00177	C00135	Amino Acid
L-Lysine	HMDB00182	C00047	Amino Acid
Mannitol	HMDB00765	C00392	Carbohydrates
Theophylline	HMDB01889	C07130	Nucleotide
Sorbitol	HMDB00247	C00794	Carbohydrates
L-Tyrosine	HMDB00158	C00082	Amino Acid
4_Pyridoxic_acid	HMDB00017	C00847	Vitamin
4-Hydroxycinnamic acid	HMDB02035	C00811	Organic Acids
D-Glucuronic acid	HMDB00127	C00191	Carbohydrates
Ascorbic acid	HMDB00044	C00072	Vitamin
Pentadecanoic acid	HMDB00826	C16537	Fatty Acids
Indoleacetic acid	HMDB00197	C00954	Indoles
Paraxanthine	HMDB01860	C13747	Nucleotide
Gluconic acid	HMDB00625	C00257	Carbohydrates
Guanidinosuccinic acid	HMDB03157	C03139	Organic Acids
Palmitoleic acid	HMDB03229	C08362	Fatty Acids
Palmitic acid	HMDB00220	C00249	Fatty Acids
5-Hydroxylysine	HMDB00450	C16741	Amino Acid
N_Acetyl_D_glucosamine	HMDB00215	C00140	Carbohydrates
3-Indolepropionic acid	HMDB02302	NA	Indoles
Dopamine	HMDB00073	C03758	Phenols
Myoinositol2	HMDB00211	C00137	Alcohols
Uric acid	HMDB00289	C00366	Organic Acids
Guanine	HMDB00132	C00242	Nucleotide
Heptadecanoic acid	HMDB02259	NA	Fatty Acids
Indolelactic acid	HMDB00671	C02043	Indoles
L-Kynurenine	HMDB00684	C00328	Amino Acid
Gamma_Linolenic_acid	HMDB03073	C06426	NA
Linoleic acid	HMDB00673	C01595	Fatty Acids
L-Tryptophan	HMDB00929	C00078	Amino Acid
Alpha_Linolenic_acid	HMDB01388	C06427	Fatty Acids
Petroselinic acid	HMDB02080	C08363	Organic Acids
Oleic acid	HMDB00207	C00712	Fatty Acids
Elaidic acid	HMDB00573	C00712	Fatty Acids
Vaccenic acid	HMDB03231	C08367	NA
Stearic acid	HMDB00827	C01530	Fatty Acids
L-Cystine	HMDB00192	C00491	Amino Acid
Glucose 6-phosphate	HMDB01401	C00092	Carbohydrates
Nonadecanoic acid	HMDB00772	C16535	Fatty Acids
Arachidonic acid	HMDB01043	C00219	Fatty Acids
6_Phosphogluconic_acid	HMDB01316	C00345	Carbohydrates
Uridine	HMDB00296	C00299	Nucleotide
Arachidic acid	HMDB02212	C06425	Fatty Acids
Serotonin	HMDB00259	C00780	Indoles
Docosahexaenoic acid	HMDB02183	C06429	Fatty Acids
Inosine	HMDB00195	C00294	Nucleotide
Deoxyadenosine	HMDB00101	C00559	Nucleotide
Adenosine	HMDB00050	C00212	Nucleotide
Sucrose	HMDB00258	C00089	Carbohydrates
Behenic acid	HMDB00944	C08281	Fatty Acids
Xanthosine	HMDB00299	C01762	Nucleotide
Alpha-Lactose	HMDB00186	C00243	Carbohydrates
Estradiol	HMDB00151	C00951	Lipids
Cellobiose	HMDB00055	C06422	Carbohydrates
Spermine	HMDB01256	C00750	Alkylamines
D-Maltose	HMDB00163	C00208	Carbohydrates
MG182	HMDB11568	NA	Lipids
MG181	HMDB11567	NA	Lipids
Deoxyguanosine	HMDB00085	C00330	Nucleotide
Maltitol	HMDB02928	NA	Carbohydrates
Tetracosanoic acid	HMDB02003	C08320	Fatty Acids
Alpha-Tocopherol	HMDB01893	C02477	Vitamin
Cholesterol	HMDB00067	C00187	Lipids
